Fichier, Temps d'execution_AlgoNaif (ms), Temps d'execution_Welzl (ms)
test-220.points, 62.64, 0.30
test-221.points, 72.22, 0.33
test-222.points, 80.19, 0.15
test-223.points, 67.88, 0.06
test-224.points, 77.03, 0.20
test-225.points, 74.50, 0.14
test-226.points, 67.66, 0.11
test-227.points, 83.90, 0.16
test-228.points, 78.21, 0.31
test-229.points, 71.42, 0.29
test-23.points, 79.35, 0.34
test-230.points, 0.12, 0.26
test-231.points, 59.05, 0.20
test-232.points, 70.71, 0.22
test-233.points, 0.03, 0.30
test-234.points, 74.54, 0.20
test-235.points, 82.13, 0.18
test-236.points, 74.72, 0.35
test-237.points, 59.85, 0.28
